event_id_cnty,event_date,year,time_precision,disorder_type,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,civilian_targeting,iso,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,tags,timestamp,population_best
UKR127812,"24 February 2023",2023,1,Demonstrations,Protests,"Peaceful protest","Protesters (Ukraine)",,Protesters,,,,"Protesters only",,804,Europe,Ukraine,Khmelnytskyi,Khmelnytskyi,Khmelnytska,Khmelnytskyi,49.4128,26.998,1,"Suspilne Media",National,"On 24 February 2023, demonstrators gathered in Khmelnytskyi, Khmelnytskyi as part of 'Bring our Heroes Home' to support and call for the release of Ukrainian prisoners of war held by the Russian Federation.",0,"crowd size=no report",1695129378,16266
RUS9520,"24 February 2023",2023,1,Demonstrations,Protests,"Protest with intervention","Protesters (Russia)",,Protesters,"Police Forces of Russia (2000-)",,"State forces","State forces-Protesters",,643,Europe,Russia,"Saint Petersburg",Admiralteyskiy,,"St. Petersburg",59.931,30.3049,1,"Activatica; TV Rain",Other-National,"On 24 February 2023, on the one-year anniversary of the Russian military invasion of Ukraine, activists staged pickets and flower-laying ceremonies in St. Petersburg against the war and in memory of the victims. Police arrested 18 people.",0,"crowd size=no report",1706054153,32984
RUS9527,"23 February 2023",2023,1,Demonstrations,Protests,"Peaceful protest","Protesters (Russia)","LF: Left Front; LKSM: Leninist Komsomol of the Russian Federation; KPRF: Communist Party of the Russian Federation",Protesters,,,,"Protesters only",,643,Europe,Russia,Penza,Penza,,Penza,53.2007,45.0046,1,KPRF,Other,"On 23 February 2023, Left Front, KPRF and Komsomol activists staged a rally in Penza for socialist policy reforms and support for Russian soldiers fighting in Ukraine.",0,"crowd size=no report",1680633894,12067
RUS9525,"20 February 2023",2023,1,Demonstrations,Protests,"Peaceful protest","Protesters (Russia)",,Protesters,,,,"Protesters only",,643,Europe,Russia,Novosibirsk,Novosibirsk,,Novosibirsk,55.0415,82.9346,1,"MBK Media",National,"On 20 February 2023, activists staged pickets in front of the regional parliament building in Novosibirsk, protesting against the abolition of direct mayoral elections.",0,"crowd size=no report",1677600258,16087
RUS9499,"20 February 2023",2023,1,Demonstrations,Protests,"Peaceful protest","Protesters (Russia)","Journalists (Russia)",Protesters,,,,"Protesters only",,643,Europe,Russia,"Republic of Dagestan",Makhachkala,,Makhachkala,42.9764,47.5024,1,"Caucasian Knot",National,"On 20 February 2023, three journalists staged organized pickets in Makhachkala, protesting against repressions against journalists and showing support for their colleague who is facing trumped-up charges in Dagestan.",0,"crowd size=3",1702343962,26566
RUS9501,"19 February 2023",2023,1,Demonstrations,Protests,"Peaceful protest","Protesters (Russia)","KPRF: Communist Party of the Russian Federation",Protesters,,,,"Protesters only",,643,Europe,Russia,Sverdlovsk,Kamensk-Uralskiy,,Kamensk-Uralsky,56.4237,61.9213,1,"Kommersant; Vremya Press",Subnational-National,"On 19 February 2023, around 60 people protested in Kamensk-Uralsky against rising utility tariffs. The demonstration was organized by a local KPRF branch.",0,"crowd size=around 60",1677600258,15713
RUS9524,"19 February 2023",2023,1,Demonstrations,Protests,"Peaceful protest","Protesters (Russia)",,Protesters,,,,"Protesters only",,643,Europe,Russia,Ryazan,Ryazan,,Ryazan,54.6269,39.6916,1,"Moskovskij Komsomolets",National,"On 19 February 2023, people gathered in Ryazan to participate in a rally in support of the Russian military invasion of Ukraine.",0,"crowd size=no report",1680633890,10049
RUS9500,"18 February 2023",2023,1,Demonstrations,Protests,"Peaceful protest","Protesters (Russia)","KPRF: Communist Party of the Russian Federation",Protesters,,,,"Protesters only",,643,Europe,Russia,Sverdlovsk,Ekaterinburg,,Yekaterinburg,56.8519,60.6122,1,"7x7; KPRF",Other-National,"On 18 February 2023, around 70 people protested in Yekaterinburg against rising utility tariffs. The demonstration was organized by a local KPRF branch.",0,"crowd size=around 70",1677600258,6433
UKR127811,"17 February 2023",2023,1,Demonstrations,Protests,"Peaceful protest","Protesters (Ukraine)",,Protesters,,,,"Protesters only",,804,Europe,Ukraine,Khmelnytskyi,Khmelnytskyi,Khmelnytska,Khmelnytskyi,49.4128,26.998,1,"Suspilne Media",National,"On 17 February 2023, demonstrators gathered in Khmelnytskyi, Khmelnytskyi as part of 'Bring our Heroes Home' to support and call for the release of Ukrainian prisoners of war held by the Russian Federation.",0,"crowd size=no report",1695129378,16266
RUS9489,"15 February 2023",2023,1,Demonstrations,Protests,"Peaceful protest","Protesters (Russia)",,Protesters,,,,"Protesters only",,643,Europe,Russia,Ivanovo,Ivanovo,,Ivanovo,56.9972,40.9714,1,Activatica,Other,"On 15 February 2023, residents blocked a street in Ivanovo, protesting against unremoved snow. They say that the street has not been cleaned since the beginning of winter, and cars and strollers with children get stuck on it.",0,"crowd size=no report",1677001538,19332
